Detector,Descriptor,Image,Total Keypoints,Keypoints on vehicle,Ratio,Detector Time,Descriptor Time,Time Together,Matches
SHITOMASI,BRISK,0,1370,125,0.09124087591240876,12.3765,2.61316,14.98966,0
SHITOMASI,BRISK,1,1301,118,0.09069946195234435,13.3661,2.2908,15.6569,95
SHITOMASI,BRISK,2,1361,123,0.09037472446730345,13.5729,1.65069,15.223590000000002,95
SHITOMASI,BRISK,3,1358,120,0.08836524300441827,12.6509,1.8962,14.5471,90
SHITOMASI,BRISK,4,1333,120,0.0900225056264066,11.94,1.75193,13.69193,93
SHITOMASI,BRISK,5,1284,113,0.08800623052959501,11.4374,1.55875,12.99615,92
SHITOMASI,BRISK,6,1322,114,0.08623298033282904,10.8418,1.53403,12.375829999999999,85
SHITOMASI,BRISK,7,1366,123,0.09004392386530015,10.7788,1.64688,12.42568,93
SHITOMASI,BRISK,8,1389,111,0.07991360691144708,11.3732,1.51396,12.887160000000002,90
SHITOMASI,BRISK,9,1339,112,0.08364451082897685,11.0062,1.74044,12.74664,89
SHITOMASI,BRISK,AVG,1342.3,117.9,0.08785440634310296,11.93438,1.8196839999999999,13.754064,82.2
""
SHITOMASI,BRIEF,0,1370,125,0.09124087591240876,16.2748,1.28799,17.56279,0
SHITOMASI,BRIEF,1,1301,118,0.09069946195234435,16.432,1.0182,17.4502,103
SHITOMASI,BRIEF,2,1361,123,0.09037472446730345,18.1778,1.66476,19.842560000000002,105
SHITOMASI,BRIEF,3,1358,120,0.08836524300441827,16.1636,0.975959,17.139559,100
SHITOMASI,BRIEF,4,1333,120,0.0900225056264066,15.1631,0.949759,16.112859,102
SHITOMASI,BRIEF,5,1284,113,0.08800623052959501,12.7331,0.869896,13.602996000000001,98
SHITOMASI,BRIEF,6,1322,114,0.08623298033282904,13.18,1.0821,14.2621,97
SHITOMASI,BRIEF,7,1366,123,0.09004392386530015,12.3388,1.20188,13.540680000000002,101
SHITOMASI,BRIEF,8,1389,111,0.07991360691144708,12.4477,1.23567,13.68337,99
SHITOMASI,BRIEF,9,1339,112,0.08364451082897685,13.0793,1.19551,14.27481,99
SHITOMASI,BRIEF,AVG,1342.3,117.9,0.08785440634310296,14.59902,1.1481724000000002,15.7471924,90.4
""
SHITOMASI,ORB,0,1370,125,0.09124087591240876,14.7064,0.823331,15.529731,0
SHITOMASI,ORB,1,1301,118,0.09069946195234435,12.7289,0.919351,13.648251,101
SHITOMASI,ORB,2,1361,123,0.09037472446730345,12.4977,1.31949,13.81719,105
SHITOMASI,ORB,3,1358,120,0.08836524300441827,13.0433,2.5916,15.6349,99
SHITOMASI,ORB,4,1333,120,0.0900225056264066,14.9151,1.14968,16.06478,102
SHITOMASI,ORB,5,1284,113,0.08800623052959501,13.0825,0.97704,14.05954,98
SHITOMASI,ORB,6,1322,114,0.08623298033282904,13.068,1.12147,14.18947,95
SHITOMASI,ORB,7,1366,123,0.09004392386530015,12.5105,1.39011,13.90061,100
SHITOMASI,ORB,8,1389,111,0.07991360691144708,12.4823,1.41385,13.89615,102
SHITOMASI,ORB,9,1339,112,0.08364451082897685,13.3004,0.970868,14.271268,98
SHITOMASI,ORB,AVG,1342.3,117.9,0.08785440634310296,13.233509999999999,1.267679,14.501189,90.0
""
SHITOMASI,FREAK,0,1370,125,0.09124087591240876,14.1043,37.656,51.7603,0
SHITOMASI,FREAK,1,1301,118,0.09069946195234435,11.658,37.1531,48.8111,92
SHITOMASI,FREAK,2,1361,123,0.09037472446730345,9.30938,36.4169,45.72628,97
SHITOMASI,FREAK,3,1358,120,0.08836524300441827,8.39159,36.0962,44.487790000000004,96
