Detector,Descriptor,Image,Total Keypoints,Keypoints on vehicle,Detector Time,Descriptor Time,Matches
SHITOMASI,BRISK,0,1370,125,14.5665,1.69699,0
SHITOMASI,BRISK,1,1301,118,10.8549,1.60696,95
SHITOMASI,BRISK,2,1361,123,11.3495,2.17922,95
SHITOMASI,BRISK,3,1358,120,13.7262,1.64949,90
SHITOMASI,BRISK,4,1333,120,11.0747,1.66062,93
SHITOMASI,BRISK,5,1284,113,11.866,2.64603,92
SHITOMASI,BRISK,6,1322,114,19.0145,1.56533,85
SHITOMASI,BRISK,7,1366,123,13.5347,2.09468,93
SHITOMASI,BRISK,8,1389,111,13.3108,1.51379,90
SHITOMASI,BRISK,9,1339,112,10.9957,1.50967,89
""
SHITOMASI,BRIEF,0,1370,125,13.625,0.927995,0
SHITOMASI,BRIEF,1,1301,118,10.9216,0.861354,103
SHITOMASI,BRIEF,2,1361,123,11.119,0.879304,105
SHITOMASI,BRIEF,3,1358,120,11.0278,0.855761,100
SHITOMASI,BRIEF,4,1333,120,10.9519,0.857287,102
SHITOMASI,BRIEF,5,1284,113,10.7042,0.840389,98
SHITOMASI,BRIEF,6,1322,114,11.0192,0.850265,97
SHITOMASI,BRIEF,7,1366,123,10.9022,0.871498,101
SHITOMASI,BRIEF,8,1389,111,10.7513,0.849786,99
SHITOMASI,BRIEF,9,1339,112,10.9474,0.838863,99
""
SHITOMASI,ORB,0,1370,125,12.3101,0.829919,0
SHITOMASI,ORB,1,1301,118,11.4701,0.899535,101
SHITOMASI,ORB,2,1361,123,11.2524,0.89426,105
SHITOMASI,ORB,3,1358,120,11.2466,0.885595,99
SHITOMASI,ORB,4,1333,120,11.3458,0.878464,102
SHITOMASI,ORB,5,1284,113,11.0651,0.888501,98
SHITOMASI,ORB,6,1322,114,11.2685,0.885217,95
SHITOMASI,ORB,7,1366,123,11.1665,0.902011,100
SHITOMASI,ORB,8,1389,111,11.0946,0.871941,102
SHITOMASI,ORB,9,1339,112,11.2137,0.919638,98
""
SHITOMASI,FREAK,0,1370,125,14.2541,33.4967,0
SHITOMASI,FREAK,1,1301,118,10.3644,30.9708,92
SHITOMASI,FREAK,2,1361,123,8.15112,31.0354,97
SHITOMASI,FREAK,3,1358,120,8.11753,31.1822,96
SHITOMASI,FREAK,4,1333,120,8.06783,31.4289,95
SHITOMASI,FREAK,5,1284,113,7.96387,30.936,90
SHITOMASI,FREAK,6,1322,114,7.97114,31.0507,88
SHITOMASI,FREAK,7,1366,123,7.96403,31.245,87
SHITOMASI,FREAK,8,1389,111,7.98637,31.0435,91
SHITOMASI,FREAK,9,1339,112,7.9973,32.5343,91
""
SHITOMASI,SIFT,0,1370,125,12.5331,16.8083,0
SHITOMASI,SIFT,1,1301,118,11.4069,16.7862,103
SHITOMASI,SIFT,2,1361,123,11.0165,16.7899,107
SHITOMASI,SIFT,3,1358,120,11.0353,16.734,101
SHITOMASI,SIFT,4,1333,120,11.0532,16.7508,104
SHITOMASI,SIFT,5,1284,113,10.866,16.651,98
SHITOMASI,SIFT,6,1322,114,11.0067,16.692,98
SHITOMASI,SIFT,7,1366,123,11.1156,16.5031,101
SHITOMASI,SIFT,8,1389,111,10.8809,16.6739,101
SHITOMASI,SIFT,9,1339,112,11.0554,16.5068,102
""
HARRIS,BRISK,0,115,17,11.4011,0.375762,0
HARRIS,BRISK,1,98,14,10.4158,0.697261,12
HARRIS,BRISK,2,113,18,10.0971,0.733852,12
HARRIS,BRISK,3,121,21,9.90073,0.768256,13
HARRIS,BRISK,4,160,26,9.97725,0.804673,15
HARRIS,BRISK,5,383,43,12.0729,0.946739,21
HARRIS,BRISK,6,85,18,9.87177,0.740395,15
HARRIS,BRISK,7,210,31,10.0491,0.853235,15
HARRIS,BRISK,8,171,26,9.76384,0.806923,23
HARRIS,BRISK,9,281,34,10.951,0.873476,20
""
HARRIS,BRIEF,0,115,17,11.3724,0.202983,0
HARRIS,BRIEF,1,98,14,10.4698,0.611869,13
HARRIS,BRIEF,2,113,18,9.9732,0.613962,13
HARRIS,BRIEF,3,121,21,9.92384,0.633398,15
HARRIS,BRIEF,4,160,26,9.95624,0.624903,17
HARRIS,BRIEF,5,383,43,11.9733,0.684073,24
HARRIS,BRIEF,6,85,18,9.92933,0.616852,16
HARRIS,BRIEF,7,210,31,10.062,0.641703,16
HARRIS,BRIEF,8,171,26,9.86747,0.625372,24
HARRIS,BRIEF,9,281,34,10.8637,0.656188,23
""
HARRIS,ORB,0,115,17,12.5871,0.690066,0
HARRIS,ORB,1,98,14,10.4692,0.760575,13
HARRIS,ORB,2,113,18,10.4116,0.74893,13
HARRIS,ORB,3,121,21,10.3184,0.82681,14
HARRIS,ORB,4,160,26,10.2967,0.855256,18
HARRIS,ORB,5,383,43,12.3812,0.80837,24
HARRIS,ORB,6,85,18,10.3796,0.766437,16
HARRIS,ORB,7,210,31,10.6287,0.795681,15
HARRIS,ORB,8,171,26,10.2573,0.796587,23
HARRIS,ORB,9,281,34,11.3353,0.792986,23
""
HARRIS,FREAK,0,115,17,11.4049,32.4323,0
HARRIS,FREAK,1,98,14,9.98046,30.4009,12
HARRIS,FREAK,2,113,18,7.25229,30.6534,13
HARRIS,FREAK,3,121,21,7.21823,30.7088,15
HARRIS,FREAK,4,160,26,7.07446,31.0799,18
HARRIS,FREAK,5,383,43,9.19436,30.9067,21
HARRIS,FREAK,6,85,18,6.93319,30.5075,17
HARRIS,FREAK,7,210,31,7.28115,30.6377,17
HARRIS,FREAK,8,171,26,7.1073,30.5233,20
HARRIS,FREAK,9,281,34,7.85692,30.6149,19
""
HARRIS,SIFT,0,115,17,11.2978,15.7391,0
HARRIS,SIFT,1,98,14,10.4932,15.7702,13
HARRIS,SIFT,2,113,18,9.88781,15.5707,13
HARRIS,SIFT,3,121,21,9.93809,15.6258,15
HARRIS,SIFT,4,160,26,10.0226,15.9427,17
HARRIS,SIFT,5,383,43,11.9007,16.2897,25
HARRIS,SIFT,6,85,18,9.82346,15.4545,16
HARRIS,SIFT,7,210,31,10.0716,15.7521,16
HARRIS,SIFT,8,171,26,9.81925,15.6325,23
HARRIS,SIFT,9,281,34,10.7886,15.9093,23
""
FAST,BRISK,0,5063,419,1.72901,4.18444,0
FAST,BRISK,1,4952,427,1.67067,4.16127,268
FAST,BRISK,2,4863,404,1.54959,3.69752,273
FAST,BRISK,3,4840,423,1.5551,3.72447,262
FAST,BRISK,4,4856,386,1.55918,3.50996,261
FAST,BRISK,5,4899,414,1.55962,3.66808,255
FAST,BRISK,6,4870,418,1.59055,3.72856,270
FAST,BRISK,7,4868,406,1.58448,3.55345,273
FAST,BRISK,8,4996,396,1.64193,4.30595,267
FAST,BRISK,9,4997,401,1.667,3.52208,266
""
FAST,BRIEF,0,5063,419,1.72827,1.85974,0
FAST,BRIEF,1,4952,427,1.80705,1.58066,289
FAST,BRIEF,2,4863,404,1.53542,1.25254,297
FAST,BRIEF,3,4840,423,1.57323,1.26541,289
FAST,BRIEF,4,4856,386,1.54976,1.09312,285
FAST,BRIEF,5,4899,414,1.5555,1.15963,271
FAST,BRIEF,6,4870,418,1.58848,1.18473,298
FAST,BRIEF,7,4868,406,1.58273,1.64697,291
FAST,BRIEF,8,4996,396,1.61143,1.33622,285
FAST,BRIEF,9,4997,401,1.63214,1.14228,291
""
FAST,ORB,0,5063,419,2.07512,1.59025,0
FAST,ORB,1,4952,427,2.01423,1.54324,289
FAST,ORB,2,4863,404,1.53903,1.27769,297
FAST,ORB,3,4840,423,1.6927,1.20962,283
FAST,ORB,4,4856,386,2.17541,1.85606,288
FAST,ORB,5,4899,414,1.57692,1.21546,278
FAST,ORB,6,4870,418,1.56886,1.18658,295
FAST,ORB,7,4868,406,2.11009,1.5014,287
FAST,ORB,8,4996,396,1.63339,1.55795,284
FAST,ORB,9,4997,401,1.62018,1.15277,285
""
